Original Title,types,variable_index,country,date,types_recode,continent,cultural distance,distance_to_ankara
Camdaki Kiz,Fall–Rise,2,United Arab Emirates,"April 9, 2021",1,Asia,0.01,0.1912597721024848
Camdaki Kiz,Fall–Rise,3,Spain,"October 16, 2024",1,Europe,0.7732433,0.2640219694512341
Cati Kati Ask,Rise–Fall–Rise,2,India,"July 10, 2020",0,Asia,0.0793723,0.33051190066537
Cesur ve Guzel,Fall–Rise,3,United Arab Emirates,"November 11, 2016",1,Asia,0.01,0.1912597721024848
Cesur ve Guzel,Fall–Rise,6,India,"November 11, 2016",1,Asia,0.0793723,0.33051190066537
Cesur ve Guzel,Fall–Rise,7,Singapore,"November 11, 2016",1,Asia,0.230165,0.583682754347835
Cesur ve Guzel,Fall–Rise,4,Egypt,"November 11, 2016",1,Africa,0.3713828,0.0723007485139661
Cesur ve Guzel,Fall–Rise,10,Argentina,"November 11, 2019",1,South America,0.4332813,0.8508386475808689
Cesur ve Guzel,Fall–Rise,11,Italy,"July 5, 2021",1,Europe,0.4192803,0.1478157140319547
Cesur ve Guzel,Fall–Rise,12,Australia,"September 11, 2024",1,Oceania,0.7100703,1.0
Cesur ve Guzel,Fall–Rise,5,Indonesia,"November 11, 2016",1,Asia,0.0833755,0.6296538091518518
Cesur ve Guzel,Fall–Rise,8,Poland,"December 5, 2017",1,Europe,0.324006,0.1233551371653434
Cesur ve Guzel,Fall–Rise,9,Sweden,"September 2, 2019",1,Europe,1.0,0.1762383532841106
Cop Adam,Rise–Fall,1,France,"November 30, 2022",0,Europe,0.6693177,0.2295492047563604
Cop Adam,Rise–Fall,3,United Arab Emirates,"December 1, 2022",0,Asia,0.01,0.1912597721024848
Cop Adam,Rise–Fall,6,India,"December 1, 2022",0,Asia,0.0793723,0.33051190066537
Cop Adam,Rise–Fall,7,Thailand,"December 1, 2022",0,Asia,0.3391781,0.5240321081565626
Cop Adam,Rise–Fall,4,Egypt,"December 1, 2022",0,Africa,0.3713828,0.0723007485139661
Cop Adam,Rise–Fall,5,United Kingdom,"December 1, 2022",0,Europe,0.6967751,0.2524422168955692
Dogdugun Ev Kaderindir,Fall–Rise–Fall,1,Brazil,"December 25, 2019",2,South America,0.3063638,0.7086143745052557
Dogdugun Ev Kaderindir,Fall–Rise–Fall,2,Spain,"December 25, 2019",2,Europe,0.7732433,0.2640219694512341
Dogdugun Ev Kaderindir,Fall–Rise–Fall,3,Italy,"December 25, 2019",2,Europe,0.4192803,0.1478157140319547
